"trace_type","segment_id","entity_id","change_summary","causal_reason"
"content","0","Inactive_Socialite_Day_7_Unpredictability_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 16.3% (5-15%) and Engagement 39.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_7_Unpredictability_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_7'.","Experiment CTR 4.8% (<5%) and Engagement 14.9% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","0","Inactive_Socialite_Day_7_Unpredictability_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 19.1% (5-15%) and Engagement 21.1% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_7_Unpredictability_T4","Template retained (GOOD performance, no change).","Experiment CTR 19.6% (>15%) and Engagement 63.7% (>40%) — both thresholds met. Template content kept unchanged."
"content","0","Inactive_Socialite_Day_7_Unpredictability_T5","Template retained (GOOD performance, no change).","Experiment CTR 19.6% (>15%) and Engagement 50.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","0","Inactive_Socialite_Day_14_Unpredictability_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 8.6% (5-15%) and Engagement 33.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_14_Unpredictability_T2","Template retained (GOOD performance, no change).","Experiment CTR 32.4% (>15%) and Engagement 49.4% (>40%) — both thresholds met. Template content kept unchanged."
"content","0","Inactive_Socialite_Day_14_Unpredictability_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 20.6% (5-15%) and Engagement 22.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_14_Unpredictability_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 20.2% (5-15%) and Engagement 32.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_14_Unpredictability_T5","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 4.9% (<5%) and Engagement 17.2% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","0","Inactive_Socialite_Day_30_Unpredictability_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_30'.","Experiment CTR 2.5% (<5%) and Engagement 21.1% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","0","Inactive_Socialite_Day_30_Unpredictability_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 6.4% (5-15%) and Engagement 51.8% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_30_Unpredictability_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 17.6% (5-15%) and Engagement 25.0% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","0","Inactive_Socialite_Day_30_Unpredictability_T4","Template retained (GOOD performance, no change).","Experiment CTR 22.7% (>15%) and Engagement 45.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","0","Inactive_Socialite_Day_30_Unpredictability_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 18.6% (5-15%) and Engagement 22.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_1_Social_Influence_T1","Template retained (GOOD performance, no change).","Experiment CTR 31.8% (>15%) and Engagement 48.8% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_1_Social_Influence_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 5.2% (5-15%) and Engagement 49.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_1_Social_Influence_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 17.8% (5-15%) and Engagement 38.8% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_1_Social_Influence_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 6.9% (5-15%) and Engagement 36.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_1_Social_Influence_T5","Template retained (GOOD performance, no change).","Experiment CTR 15.8% (>15%) and Engagement 68.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_7_Social_Influence_T1","Template retained (GOOD performance, no change).","Experiment CTR 18.4% (>15%) and Engagement 58.6% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_7_Social_Influence_T2","Template retained (GOOD performance, no change).","Experiment CTR 18.1% (>15%) and Engagement 62.6% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_7_Social_Influence_T3","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_7'.","Experiment CTR 2.0% (<5%) and Engagement 20.9% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","1","Inactive_Social_Learners_Day_7_Social_Influence_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 5.4% (5-15%) and Engagement 44.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_7_Social_Influence_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 6.1% (5-15%) and Engagement 50.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_14_Social_Influence_T1","Template retained (GOOD performance, no change).","Experiment CTR 30.8% (>15%) and Engagement 47.2% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_14_Social_Influence_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 7.5% (5-15%) and Engagement 37.7% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_14_Social_Influence_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 17.8% (5-15%) and Engagement 30.0% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_14_Social_Influence_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 5.4% (<5%) and Engagement 13.8% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","1","Inactive_Social_Learners_Day_14_Social_Influence_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 6.8% (5-15%) and Engagement 26.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_30_Social_Influence_T1","Template retained (GOOD performance, no change).","Experiment CTR 20.9% (>15%) and Engagement 55.5% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_30_Social_Influence_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 21.9% (5-15%) and Engagement 23.0% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","1","Inactive_Social_Learners_Day_30_Social_Influence_T3","Template retained (GOOD performance, no change).","Experiment CTR 33.7% (>15%) and Engagement 40.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","1","Inactive_Social_Learners_Day_30_Social_Influence_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_30'.","Experiment CTR 1.5% (<5%) and Engagement 27.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","1","Inactive_Social_Learners_Day_30_Social_Influence_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 19.0% (5-15%) and Engagement 26.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","2","Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T1","Template retained (GOOD performance, no change).","Experiment CTR 26.1% (>15%) and Engagement 45.9% (>40%) — both thresholds met. Template content kept unchanged."
"content","2","Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_1'.","Experiment CTR 4.9% (<5%) and Engagement 13.3% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T3","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_1'.","Experiment CTR 4.9% (<5%) and Engagement 8.8% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_1'.","Experiment CTR 1.4% (<5%) and Engagement 20.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T5","Template retained (GOOD performance, no change).","Experiment CTR 25.5% (>15%) and Engagement 46.7% (>40%) — both thresholds met. Template content kept unchanged."
"content","2","Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_2'.","Experiment CTR 7.6% (<5%) and Engagement 13.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T2","Template retained (GOOD performance, no change).","Experiment CTR 18.7% (>15%) and Engagement 58.7% (>40%) — both thresholds met. Template content kept unchanged."
"content","2","Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_2'.","Experiment CTR 20.2% (5-15%) and Engagement 22.5% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","2","Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_2'.","Experiment CTR 1.7% (<5%) and Engagement 32.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T5","Template retained (GOOD performance, no change).","Experiment CTR 23.1% (>15%) and Engagement 46.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","2","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_4'.","Experiment CTR 6.9% (<5%) and Engagement 10.6% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Week_4'.","Experiment CTR 5.2% (<5%) and Engagement 15.0% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","2","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","Template retained (GOOD performance, no change).","Experiment CTR 16.3% (>15%) and Engagement 55.2% (>40%) — both thresholds met. Template content kept unchanged."
"content","2","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_4'.","Experiment CTR 16.4% (5-15%) and Engagement 24.4% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","2","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Week_4'.","Experiment CTR 18.4% (5-15%) and Engagement 38.8% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","Template retained (GOOD performance, no change).","Experiment CTR 19.7% (>15%) and Engagement 66.2% (>40%) — both thresholds met. Template content kept unchanged."
"content","3","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 18.4% (5-15%) and Engagement 39.8% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","Template retained (GOOD performance, no change).","Experiment CTR 20.1% (>15%) and Engagement 68.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","3","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_1'.","Experiment CTR 2.0% (<5%) and Engagement 18.3% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","3","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 16.8% (5-15%) and Engagement 23.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_7_Scarcity_and_Impatience_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 6.7% (5-15%) and Engagement 50.5% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_7_Scarcity_and_Impatience_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 9.3% (5-15%) and Engagement 27.1% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_7_Scarcity_and_Impatience_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 7.8% (5-15%) and Engagement 34.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_7_Scarcity_and_Impatience_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 5.2% (5-15%) and Engagement 37.7% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_7_Scarcity_and_Impatience_T5","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_7'.","Experiment CTR 7.2% (<5%) and Engagement 15.0% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","3","Inactive_Socialite_Day_14_Scarcity_and_Impatience_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 5.9% (5-15%) and Engagement 25.1% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_14_Scarcity_and_Impatience_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 5.1% (5-15%) and Engagement 44.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_14_Scarcity_and_Impatience_T3","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 7.0% (<5%) and Engagement 9.9% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","3","Inactive_Socialite_Day_14_Scarcity_and_Impatience_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 1.5% (<5%) and Engagement 29.9% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","3","Inactive_Socialite_Day_14_Scarcity_and_Impatience_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 5.1% (5-15%) and Engagement 40.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_30_Scarcity_and_Impatience_T1","Template retained (GOOD performance, no change).","Experiment CTR 23.5% (>15%) and Engagement 66.1% (>40%) — both thresholds met. Template content kept unchanged."
"content","3","Inactive_Socialite_Day_30_Scarcity_and_Impatience_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 20.5% (5-15%) and Engagement 27.4% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","3","Inactive_Socialite_Day_30_Scarcity_and_Impatience_T3","Template retained (GOOD performance, no change).","Experiment CTR 20.5% (>15%) and Engagement 54.9% (>40%) — both thresholds met. Template content kept unchanged."
"content","3","Inactive_Socialite_Day_30_Scarcity_and_Impatience_T4","Template retained (GOOD performance, no change).","Experiment CTR 22.0% (>15%) and Engagement 59.9% (>40%) — both thresholds met. Template content kept unchanged."
"content","3","Inactive_Socialite_Day_30_Scarcity_and_Impatience_T5","Template retained (GOOD performance, no change).","Experiment CTR 18.8% (>15%) and Engagement 62.8% (>40%) — both thresholds met. Template content kept unchanged."
"content","4","Dormant_Social_Day_1_Unpredictability_T1","Template retained (GOOD performance, no change).","Experiment CTR 29.4% (>15%) and Engagement 46.7% (>40%) — both thresholds met. Template content kept unchanged."
"content","4","Dormant_Social_Day_1_Unpredictability_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_1'.","Experiment CTR 1.1% (<5%) and Engagement 22.7% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","4","Dormant_Social_Day_1_Unpredictability_T3","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_1'.","Experiment CTR 7.4% (<5%) and Engagement 16.0% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","4","Dormant_Social_Day_1_Unpredictability_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_1'.","Experiment CTR 2.2% (<5%) and Engagement 34.6% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","4","Dormant_Social_Day_1_Unpredictability_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 8.8% (5-15%) and Engagement 41.8% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_7_Unpredictability_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 20.2% (5-15%) and Engagement 36.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_7_Unpredictability_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 5.5% (5-15%) and Engagement 35.2% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_7_Unpredictability_T3","Template retained (GOOD performance, no change).","Experiment CTR 27.5% (>15%) and Engagement 64.2% (>40%) — both thresholds met. Template content kept unchanged."
"content","4","Dormant_Social_Day_7_Unpredictability_T4","Template retained (GOOD performance, no change).","Experiment CTR 15.7% (>15%) and Engagement 48.6% (>40%) — both thresholds met. Template content kept unchanged."
"content","4","Dormant_Social_Day_7_Unpredictability_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 19.2% (5-15%) and Engagement 21.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_14_Unpredictability_T1","Template retained (GOOD performance, no change).","Experiment CTR 32.7% (>15%) and Engagement 58.7% (>40%) — both thresholds met. Template content kept unchanged."
"content","4","Dormant_Social_Day_14_Unpredictability_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 16.6% (5-15%) and Engagement 34.1% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_14_Unpredictability_T3","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 1.7% (<5%) and Engagement 11.5% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","4","Dormant_Social_Day_14_Unpredictability_T4","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_14'.","Experiment CTR 5.5% (<5%) and Engagement 15.6% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","4","Dormant_Social_Day_14_Unpredictability_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_14'.","Experiment CTR 19.2% (5-15%) and Engagement 31.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_30_Unpredictability_T1","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_30'.","Experiment CTR 4.9% (<5%) and Engagement 15.2% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
"content","4","Dormant_Social_Day_30_Unpredictability_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 7.5% (5-15%) and Engagement 36.5% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_30_Unpredictability_T3","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 5.4% (5-15%) and Engagement 44.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_30_Unpredictability_T4","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_30'.","Experiment CTR 8.5% (5-15%) and Engagement 53.6% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","4","Dormant_Social_Day_30_Unpredictability_T5","Template retained (GOOD performance, no change).","Experiment CTR 32.0% (>15%) and Engagement 58.4% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","Template retained (GOOD performance, no change).","Experiment CTR 20.1% (>15%) and Engagement 47.0% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 19.2% (5-15%) and Engagement 29.9% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","Template retained (GOOD performance, no change).","Experiment CTR 16.0% (>15%) and Engagement 66.3% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","Template retained (GOOD performance, no change).","Experiment CTR 28.5% (>15%) and Engagement 48.6% (>40%) — both thresholds met. Template content kept unchanged."
"content","5","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_1'.","Experiment CTR 17.4% (5-15%) and Engagement 36.3% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_7_Scarcity_and_Impatience_T1","Template improved (NEUTRAL -> Iteration 1 variant) for goal 'Day_7'.","Experiment CTR 8.3% (5-15%) and Engagement 35.5% (20-40%) were mid-range. LLM generated improved variant using original as reference, targeting CTR >15% and Eng >40%."
"content","5","Dormant_Achiever_Day_7_Scarcity_and_Impatience_T2","Template redesigned (BAD -> Iteration 1 fresh generation) for goal 'Day_7'.","Experiment CTR 5.6% (<5%) and Engagement 19.6% (<20%) — both below thresholds. Original suppressed; LLM generated entirely new template (original shown as anti-pattern)."
