"template_id","segment_id","lifecycle_stage","goal_id","theme","message_title_en","message_title_hi","message_body_en","message_body_hi","cta_text_en","cta_text_hi","tone_used","hook_type","feature_reference"
"Inactive_Social_Learners_Day_1_Social_Influence_T1","1","inactive","Day 1","Social_Influence","Unlock Your Speaking Potential Today!","Apni speaking potential unlock karo!","Complete your daily lesson to refine your skills and impress everyone with your fluency.","Aaj ka daily lesson complete karo, skills improve karo aur sabko impress karo.","Start Lesson","Lesson Shuru Karo","Motivational","daily_lessons","daily_lessons"
"Inactive_Social_Learners_Day_1_Social_Influence_T2","1","inactive","Day 1","Social_Influence","Missing That Confident Spark?","Confidence ki kami mehsoos ho rahi hai?","Sia's daily lessons help you speak effortlessly, so you can shine in every conversation.","Sia ke daily lessons se confidently bolo, har conversation mein shine karo.","Chat with Sia","Sia se baat karo","Empathetic","ai_tutor_sia","daily_lessons"
"Inactive_Social_Learners_Day_1_Social_Influence_T3","1","inactive","Day 1","Social_Influence","What's New in Your Learning Journey?","Aapki learning journey mein kya naya hai?","A quick daily lesson will show you your progress and what your friends are up to!","Ek quick daily lesson se apni progress dekho aur friends se connect karo!","Check Progress","Progress Dekho","Friendly","progress_reports","daily_lessons"
"Inactive_Social_Learners_Day_1_Social_Influence_T4","1","inactive","Day 1","Social_Influence","Your Friends Are On The Leaderboard!","Aapke friends leaderboard par hain!","Start your daily lesson now to join the competition and climb to the top!","Abhi daily lesson shuru karo, competition join karo aur top par pahuncho!","Join The Race","Race Join Karo","Encouraging","leaderboards","daily_lessons"
"Inactive_Social_Learners_Day_1_Social_Influence_T5","1","inactive","Day 1","Social_Influence","Ready for a Quick Win?","Ek quick win ke liye ready ho?","Your daily lesson with pronunciation feedback is waiting to make you sound amazing.","Daily lesson aur pronunciation feedback se apni awaaz behtar banao!","Practice Now","Abhi Practice Karo","Supportive","pronunciation_coach","daily_lessons"
"Inactive_Social_Learners_Day_7_Social_Influence_T1","1","inactive","Day 7","Social_Influence","Climb the Leaderboard, Boost Your Confidence!","Leaderboard pe upar aao!","See your rank among friends and challenge yourself to reach the top. Practice now!","Friends mein apni rank dekho aur top pe pahunchne ka challenge lo. Abhi practice karo!","Check My Rank","Rank Dekho","Motivational","leaderboards","leaderboards"
"Inactive_Social_Learners_Day_7_Social_Influence_T2","1","inactive","Day 7","Social_Influence","Your Friends Are Ahead!","Dosto se peeche mat raho!","Don't miss out on the fun! See where you stand on the leaderboard and catch up.","Leaderboard pe apni jagah dekho aur jaldi aage badho. Competition ka time hai!","See Rankings","Rank Dekho","Friendly","daily_lessons","leaderboards"
"Inactive_Social_Learners_Day_7_Social_Influence_T3","1","inactive","Day 7","Social_Influence","What's Your Leaderboard Rank Today?","Aaj Leaderboard pe kahaan ho?","Curious about your spot? Check the weekly leaderboard and improve your score by learning more.","Apni rank jaan’na chahte ho? Weekly leaderboard dekho aur score badhaao.","View My Rank","Rank Dekho","Encouraging","progress_reports","leaderboards"
"Inactive_Social_Learners_Day_7_Social_Influence_T4","1","inactive","Day 7","Social_Influence","Others Are Climbing Fast!","Sab aage badh rahe hain!","Your friends are actively practicing and improving their leaderboard position. Join the challenge!","Tumhare friends leaderboard pe rank badha rahe hain. Tum bhi challenge mein shaamil ho jao!","Join The Race","Race Join Karo","Supportive","vocabulary_builder","leaderboards"
"Inactive_Social_Learners_Day_7_Social_Influence_T5","1","inactive","Day 7","Social_Influence","Top The Leaderboard!","Leaderboard pe top karo!","Your chance to shine is now. Practice and claim your spot.","Abhi practice karo aur apni jagah banao.","Start Practicing","Practice Karo","Celebratory","ai_tutor_sia","leaderboards"
"Inactive_Social_Learners_Day_14_Social_Influence_T1","1","inactive","Day 14","Social_Influence","Your Progress Report is Ready!","Aapki Progress Report aa gayi hai!","See your amazing improvement & share your success with friends!","Apni amazing improvement dekho aur friends ke saath success share karo!","View My Report","Report Dekho","Celebratory","progress_reports","progress_reports"
"Inactive_Social_Learners_Day_14_Social_Influence_T2","1","inactive","Day 14","Social_Influence","Ready to Level Up?","Level Up karne ke liye ready ho?","Your progress report reveals key insights to boost your skills and rank higher.","Progress report se apni skills boost karo aur rank upar karo.","Check My Progress","Meri Progress Dekho","Motivational","leaderboards","progress_reports"
"Inactive_Social_Learners_Day_14_Social_Influence_T3","1","inactive","Day 14","Social_Influence","Curious About Your Growth?","Apni growth janne ke liye curious ho?","See how much you've improved and inspire others!","Dekho daily lessons ke baad kitna improve kiya aur inspire karo!","Explore Report","Report Dekho","Friendly","daily_lessons","progress_reports"
"Inactive_Social_Learners_Day_14_Social_Influence_T4","1","inactive","Day 14","Social_Influence","Others are Shining! Your Turn?","Baaki sab chamak rahe hain! Ab aapki baari?","Your personalized report shows your grammar mastery. See what's next.","Apni grammar mastery report mein dekho. Next step kya hai?","See My Strengths","Apni Strengths Dekho","Encouraging","grammar_guardian","progress_reports"
"Inactive_Social_Learners_Day_14_Social_Influence_T5","1","inactive","Day 14","Social_Influence","Your Progress Report is Here.","Aapki Progress Report aa gayi hai.","Review your improvement. Join the conversation confidently.","Apni improvement review karo. Confidently conversation join karo.","View Report","Report Dekho","Professional","pronunciation_coach","progress_reports"
"Inactive_Social_Learners_Day_30_Social_Influence_T1","1","inactive","Day 30","Social_Influence","Speak English Confidently with Sia!","Sia ke saath confidently English bolo!","Get instant feedback and improve your fluency for real-life conversations.","Instant feedback paao aur apni fluency badhao real conversations ke liye.","Chat with Sia","Sia se Baat Karo","Encouraging","ai_tutor_sia","ai_tutor"
"Inactive_Social_Learners_Day_30_Social_Influence_T2","1","inactive","Day 30","Social_Influence","Feeling shy to speak English?","English bolne mein sharma rahe ho?","Sia provides a judgment-free space to practice anytime, build confidence.","Sia ke saath bina jhijhak practice karo, confidence badhao.","Start Chatting","Chat Shuru Karo","Empathetic","sia_chat","ai_tutor"
"Inactive_Social_Learners_Day_30_Social_Influence_T3","1","inactive","Day 30","Social_Influence","Want to ace that English interview?","English interview crack karna hai?","Practice real-world scenarios with Sia and master your communication skills.","Sia ke saath real scenarios practice karo aur apni communication skills master karo.","Ask Sia Now","Abhi Sia se Puchho","Friendly","role_based_practice","ai_tutor"
"Inactive_Social_Learners_Day_30_Social_Influence_T4","1","inactive","Day 30","Social_Influence","Your friends are speaking confidently!","Aapke friends confidently bol rahe hain!","Don't miss out on improving your English. Practice with Sia today.","English improve karne ka mauka miss mat karo. Sia ke saath practice karo.","Join the Conversation","Conversation Join Karo","Motivational","leaderboards","ai_tutor"
"Inactive_Social_Learners_Day_30_Social_Influence_T5","1","inactive","Day 30","Social_Influence","Boost your English speaking confidence!","Apni English speaking confidence badhao!","Sia is ready to help you make real progress today.","Sia aapki progress ke liye ready hai.","Practice Now","Abhi Practice Karo","Supportive","progress_reports","ai_tutor"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T1","2","paid","Week 1","Creativity_and_Feedback","See Your Rank, Boost Your Skills!","Apna Rank Dekho, Skills Badhao!","Your weekly progress includes your leaderboard position. Compete, get feedback, and climb higher.","Aapki weekly progress mein leaderboard rank bhi hai. Compete karo, feedback lo, aur upar chadho.","Check Leaderboards","Leaderboard Dekho","Motivational","progress_reports","leaderboards"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T2","2","paid","Week 1","Creativity_and_Feedback","Reach the Top, Earn Your Glory!","Top Par Pahucho, Glory Kamao!","Imagine the thrill of seeing your name on top. Your next achievement awaits on the leaderboards.","Socho top par apna naam dekhne ka thrill. Aapka next achievement leaderboards par wait kar raha hai.","Climb Ranks Now","Abhi Ranks Climb Karo","Encouraging","badges_achievements","leaderboards"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T3","2","paid","Week 1","Creativity_and_Feedback","Where Do You Stand This Week?","Is Week Aap Kahan Ho?","Check the leaderboards to see your current rank and how many coins you can earn by competing.","Leaderboards dekho apna current rank aur kitne coins jeet sakte ho compete karke.","Find My Rank","Apna Rank Dekho","Friendly","coins","leaderboards"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T4","2","paid","Week 1","Creativity_and_Feedback","Others Are Climbing! Don't Miss Out!","Baaki Log Rank Badha Rahe Hain!","Your peers are actively engaging in daily lessons and competing for top spots. Join the fun!","Aapke friends daily lessons kar rahe hain aur top spots ke liye compete kar rahe hain. Join karo!","See Live Ranks","Live Ranks Dekho","Celebratory","daily_lessons","leaderboards"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T5","2","paid","Week 1","Creativity_and_Feedback","See Your Current Rank!","Apna Rank Abhi Dekho!","Boost your vocabulary, boost your rank! Check where you stand among peers.","Vocabulary badhao, rank badhao! Dekho peers mein kahan ho.","View Leaderboard","Leaderboard Dekho","Supportive","vocabulary_builder","leaderboards"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T1","2","paid","Week 2","Creativity_and_Feedback","You've Earned Your First Achievement Badge!","Badhai ho! Aapne apna pehla badge jeet liya!","Celebrate your milestone! See what new skills you've mastered and claim your reward.","Apni mehnat celebrate karo! Dekho kya naye skills seekhe aur reward claim karo.","Claim Your Badge","Badge Claim Karo","Celebratory","badges_achievements","badges_achievements"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T2","2","paid","Week 2","Creativity_and_Feedback","Create Your Success Story, Daily!","Apni success story har din banao!","Every lesson brings you closer to earning your next achievement badge. Keep building your skills!","Har lesson aapko naye achievement badge ke paas laata hai. Skills banate raho!","Start Today's Lesson","Aaj Ka Lesson Karo","Motivational","daily_lessons","badges_achievements"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T3","2","paid","Week 2","Creativity_and_Feedback","Guess What Achievements Await You?","Kaun se achievements aapka intezaar kar rahe hain?","Your progress report is ready! Discover your latest milestones and see new badges.","Aapki progress report ready hai! Apne latest milestones aur naye badges dekho.","Check My Progress","Progress Dekho","Friendly","progress_reports","badges_achievements"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T4","2","paid","Week 2","Creativity_and_Feedback","Don't Miss Out: Earn Badges & Coins!","Miss mat karo: Badges aur Coins kamao!","Many users are earning their first achievement badges. Complete your milestone to join them!","Bahut users apna pehla achievement badge kama rahe hain. Milestone complete karke join karo!","Earn My Rewards","Rewards Kamao","Encouraging","coins","badges_achievements"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T5","2","paid","Week 2","Creativity_and_Feedback","Build Vocab, Earn Badge!","Vocab banao, badge paao!","Quick vocabulary practice helps you unlock your next achievement.","Thodi vocabulary practice aapko agla achievement unlock karne mein help karegi.","Practice Now","Abhi Practice Karo","Supportive","vocabulary_builder","badges_achievements"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","2","paid","Week 4","Creativity_and_Feedback","Your Monthly Progress Report is Ready!","Aapki Monthly Progress Report aa gayi hai!","See your amazing growth, identify strengths, and plan your next steps to fluency. Share your success!","Apni growth dekho, strengths pehchano, aur fluency ke liye next steps plan karo. Share bhi karna!","View Report Now","Abhi Report Dekho","Motivational","progress_reports","progress_reports"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","2","paid","Week 4","Creativity_and_Feedback","Celebrate Your Month of Mastery!","Apni Month of Mastery Celebrate karo!","Your hard work has paid off. Check your progress report and feel proud of your achievements.","Aapki mehnat rang laayi hai. Progress report dekho aur apni achievements par proud feel karo.","See Your Success","Success Dekho","Celebratory","badges_achievements","progress_reports"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","2","paid","Week 4","Creativity_and_Feedback","Wondering How Far You've Come?","Soch rahe ho kitna aage badhe ho?","Your monthly progress report holds all the answers! Discover your learning journey insights.","Aapki monthly progress report mein saare answers hain! Apni learning journey ke insights dekho.","Explore My Progress","Progress Dekho","Friendly","daily_lessons","progress_reports"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","2","paid","Week 4","Creativity_and_Feedback","Inspire Others With Your Progress!","Apni Progress se doosron ko inspire karo!","Your monthly report is ready to be shared. Show the world what consistent learning achieves.","Aapki monthly report ready hai share karne ke liye. Dikhao duniya ko consistent learning kya kar sakti hai.","Share My Report","Report Share Karo","Encouraging","progress_reports","progress_reports"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","2","paid","Week 4","Creativity_and_Feedback","Your Monthly Performance Review.","Aapki Monthly Performance Review.","Access your comprehensive progress report now. See your skills evolve.","Apni progress report abhi dekho. Dekho kaise aapke skills evolve hue.","View Report","Report Dekho","Professional","ai_tutor_sia","progress_reports"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","3","inactive","Day 1","Scarcity_and_Impatience","See Your Leaderboard Rank Now!","अभी अपना लीडरबोर्ड रैंक देखो!","Check where you stand among others and strategize your climb. Don't miss your chance!","देखो तुम दूसरों में कहाँ हो और अपनी चढ़ाई की स्ट्रैटेजी बनाओ। मौका मत छोड़ो!","View Ranking","रैंकिंग देखो","Motivational","leaderboards","leaderboards"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","3","inactive","Day 1","Scarcity_and_Impatience","Ready to Challenge Yourself?","खुद को चैलेंज करने को तैयार हो?","Your leaderboard spot is waiting. See your current standing and feel inspired to improve.","तुम्हारी लीडरबोर्ड की जगह इंतज़ार कर रही है। अपनी करेंट स्टैंडिंग देखो और इंप्रूव करने के लिए इंस्पायर हो जाओ।","Check Your Rank","अपनी रैंक देखो","Encouraging","leaderboards","leaderboards"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","3","inactive","Day 1","Scarcity_and_Impatience","Curious About Your Rank?","अपनी रैंक के बारे में जानना है?","The leaderboard is live! See your current position before it changes. Don't wait!","लीडरबोर्ड लाइव है! अपनी करेंट पोजीशन देखो इससे पहले कि वो बदल जाए। इंतज़ार मत करो!","Find Out Now","अभी पता करो","Friendly","leaderboards","leaderboards"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","3","inactive","Day 1","Scarcity_and_Impatience","Don't Miss Out on Your Spot!","अपनी जगह मिस मत करो!","Your friends are climbing the ranks! See where you stand among them right now.","तुम्हारे दोस्त रैंक में ऊपर चढ़ रहे हैं! अभी देखो तुम उनके बीच कहाँ हो।","See Leaderboard","लीडरबोर्ड देखो","Supportive","leaderboards","leaderboards"
"Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","3","inactive","Day 1","Scarcity_and_Impatience","Leaderboard Update: Check Your Rank!","लीडरबोर्ड अपडेट: अपनी रैंक देखो!","Your current ranking is ready. See it now and plan your next move.","तुम्हारी करेंट रैंकिंग तैयार है। अभी देखो और अपना अगला कदम प्लान करो।","View My Rank","मेरी रैंक देखो","Professional","leaderboards","leaderboards"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T1","3","inactive","Day 7","Scarcity_and_Impatience","Don't Miss Out: New Badges Await!","Miss mat karo: Naye Badges hain!","Complete a challenge today and instantly earn your next achievement badge. Start now!","Aaj challenge pura karo aur apna next achievement badge paao. Abhi shuru karo!","Earn Your Badge","Badge Kamao","Encouraging","leaderboards","badges_achievements"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T2","3","inactive","Day 7","Scarcity_and_Impatience","Your Achievements Are Waiting!","Tumhari achievements wait kar rahi hain!","Feel the pride of earning new badges. Chat with Sia to discover your next challenge today!","Naye badges jeetne ka pride feel karo. Sia se baat karke apna next challenge dhoondo!","Chat with Sia","Sia se Chat Karo","Motivational","sia_chat","badges_achievements"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T3","3","inactive","Day 7","Scarcity_and_Impatience","What's Your Next Badge?","Tumhara next badge kya hai?","A new achievement badge is just a challenge away. See what you can unlock today!","Ek naya achievement badge bas ek challenge door hai. Dekho kya unlock kar sakte ho aaj!","Discover Badges","Badges Dekho","Friendly","leaderboards","badges_achievements"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T4","3","inactive","Day 7","Scarcity_and_Impatience","Don't Miss Out: Badges Are Flying!","Miss mat karo: Badges mil rahe hain!","Learners are earning amazing badges daily. Chat with Sia to grab yours before time runs out!","Students daily amazing badges kama rahe hain. Sia se chat karo aur apna badge lo, time kam hai!","Get Your Badge","Apna Badge Lo","Celebratory","sia_chat","badges_achievements"
"Inactive_Socialite_Day_7_Scarcity_and_Impatience_T5","3","inactive","Day 7","Scarcity_and_Impatience","Your Next Badge Awaits!","Tumhara next badge wait kar raha hai!","Complete a quick challenge now to earn your next achievement. Don't wait!","Abhi ek quick challenge pura karo aur apna achievement paao. Der mat karo!","Start Challenge","Challenge Shuru Karo","Supportive","leaderboards","badges_achievements"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T1","3","inactive","Day 14","Scarcity_and_Impatience","Unlock Instant Practice Now!","Instant practice unlock karo!","Sia Chat gives real-time feedback for fluent conversations. Don't wait to improve!","Sia Chat se real-time feedback milega, fluent bolo. Improve hone ka wait mat karo!","Chat with Sia","Sia se baat karo","Friendly","sia_chat","sia_chat"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T2","3","inactive","Day 14","Scarcity_and_Impatience","Speak Confidently, Starting Today!","Aaj se confidence se bolo!","Sia Chat helps overcome hesitation quickly. Don't delay your fluency journey. Start now!","Sia Chat se hesitation jaldi khatam karo. Apni fluency journey delay mat karo. Abhi shuru!","Practice Now","Abhi Practice Karo","Motivational","sia_chat","sia_chat"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T3","3","inactive","Day 14","Scarcity_and_Impatience","Curious about your fluency potential?","Apni fluency potential jaanna chahte ho?","Sia Chat offers personalized practice sessions. Discover your true speaking power now!","Sia Chat personalized practice sessions deta hai. Apni speaking power abhi discover karo!","Explore Sia Chat","Sia Chat dekho","Encouraging","sia_chat","sia_chat"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T4","3","inactive","Day 14","Scarcity_and_Impatience","Don't Fall Behind Your Friends!","Doston se peeche mat raho!","See who's topping the leaderboard! Boost your rank with daily Sia Chat practice. Start today!","Leaderboard pe kaun top kar raha hai dekho! Sia Chat practice se rank badhao. Aaj hi shuru karo!","Check Leaderboard","Leaderboard dekho","Supportive","leaderboards","sia_chat"
"Inactive_Socialite_Day_14_Scarcity_and_Impatience_T5","3","inactive","Day 14","Scarcity_and_Impatience","Stuck? Get Instant Help!","Stuck ho? Instant help lo!","Sia Chat offers quick, pressure-free conversational practice. Don't waste another minute!","Sia Chat quick, pressure-free practice deta hai. Ek minute bhi waste mat karo!","Get Help Now","Abhi Help Lo","Empathetic","sia_chat","sia_chat"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T1","3","inactive","Day 30","Scarcity_and_Impatience","Protect Your Streak, Unlock a Bonus!","Apna Streak Bachao, Bonus Pao!","Don't lose your progress. Maintain your 7-day streak for an exclusive reward.","Progress mat gawaao. 7-day streak rakho aur exclusive reward unlock karo.","Practice Now","Abhi Practice Karo","Encouraging","leaderboards","streaks"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T2","3","inactive","Day 30","Scarcity_and_Impatience","Don't Break Your Flow!","Apna Flow Mat Todna!","Your 7-day streak is almost there. Keep that learning momentum going strong.","7-day streak complete hone wala hai. Learning momentum strong rakho.","Continue Learning","Seekhna Jaari Rakho","Supportive","sia_chat","streaks"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T3","3","inactive","Day 30","Scarcity_and_Impatience","What's Your Longest Streak?","Aapka Sabse Lamba Streak Kya Hai?","Don't let your hard work vanish! A 7-day streak protects your progress.","Apni mehnat waste mat hone do! 7-day streak se progress safe rehti hai.","Find Out","Abhi Dekho","Motivational","leaderboards","streaks"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T4","3","inactive","Day 30","Scarcity_and_Impatience","Everyone's Chasing Streaks!","Sab Log Streaks Bana Rahe Hain!","Don't miss your bonus reward. Keep your 7-day streak alive and join the fun.","Apna bonus reward miss mat karo. 7-day streak complete karo aur fun join karo.","Join the Challenge","Challenge Join Karo","Friendly","sia_chat","streaks"
"Inactive_Socialite_Day_30_Scarcity_and_Impatience_T5","3","inactive","Day 30","Scarcity_and_Impatience","Protect Your Streak Today!","Apna Streak Bachao Aaj!","Don't lose progress. Your 7-day streak matters.","Progress mat gawaao. 7-day streak important hai.","Practice Now","Abhi Practice Karo","Empathetic","leaderboards","streaks"
"Dormant_Social_Day_1_Unpredictability_T1","4","inactive","Day 1","Unpredictability","Your New Ranking Awaits!","Aapki Nayi Ranking Ka Intezaar!","Check the leaderboards now to see your latest position and challenge friends.","Leaderboards par apna latest score dekho aur friends ko challenge karo.","Check Leaderboards","Leaderboards Dekho","Motivational","leaderboards_social","leaderboards"
