"segment_id","segment_name","lifecycle_stage","primary_goal","sub_goals","day_label","focus_feature_id","user_task","rationale"
"2","Paid_Social_Achiever","paid","Maximize long-term engagement and advocacy by leveraging social interaction and achievement recognition.","Foster competitive engagement through leaderboards and challenges. | Reinforce consistent practice with visible achievement milestones. | Provide tangible proof of progress to encourage sharing and continued commitment.","Week 4","progress_reports","Review your monthly progress report to identify areas for improvement and share your achievements.","By Week 4, users benefit from seeing their cumulative progress, which directly appeals to their achievement drive and provides motivation for continued learning. This report can also serve as a talking point for social sharing, allowing them to showcase their dedication and improvement within their network, further solidifying their commitment to the platform."
"3","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to foster consistent product interaction.","Encourage initial re-engagement with a low-friction social or competitive feature. | Motivate continued interaction through achievement-based recognition and progress tracking. | Integrate social learning into their routine to build a sustainable habit and reduce churn risk.","Day 1","leaderboards","Check your current ranking on the leaderboard and see how you compare to others.","This feature directly appeals to their high social and achievement propensities, offering a competitive hook to draw them back into the app. Seeing their standing relative to others can spark a desire to improve and re-engage with practice, leveraging their inherent drive for social comparison."
"3","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to foster consistent product interaction.","Encourage initial re-engagement with a low-friction social or competitive feature. | Motivate continued interaction through achievement-based recognition and progress tracking. | Integrate social learning into their routine to build a sustainable habit and reduce churn risk.","Day 7","badges_achievements","Earn a new badge by completing a specific practice challenge or reaching a milestone.","Leveraging their achievement drive, this encourages users to set and accomplish small goals within the app, providing a sense of progress. Earning badges offers tangible recognition of their efforts, fostering a sense of accomplishment that can motivate continued use and deeper engagement."
"3","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to foster consistent product interaction.","Encourage initial re-engagement with a low-friction social or competitive feature. | Motivate continued interaction through achievement-based recognition and progress tracking. | Integrate social learning into their routine to build a sustainable habit and reduce churn risk.","Day 14","sia_chat","Engage in a conversational practice session with Sia and share a snippet of your conversation with a friend.","This feature provides a low-pressure environment for conversational practice, appealing to their social nature by simulating interaction and offering instant feedback. The ability to share progress or interesting conversational moments can further enhance their sense of connection and provide social validation."
"3","Inactive_Socialite","inactive","Re-engage inactive users by leveraging their social and achievement drives to foster consistent product interaction.","Encourage initial re-engagement with a low-friction social or competitive feature. | Motivate continued interaction through achievement-based recognition and progress tracking. | Integrate social learning into their routine to build a sustainable habit and reduce churn risk.","Day 30","streaks","Maintain a 7-day streak to protect your progress and unlock a bonus reward.","Streaks tap into the user's desire for consistency and achievement, providing a clear visual representation of their commitment and progress. This gamified element encourages daily engagement, transforming sporadic use into a regular habit and significantly reducing long-term churn risk."
"4","Dormant_Social","inactive","Re-engage inactive users by leveraging their social and gamification propensities to foster consistent platform interaction and reduce churn risk.","Prompt initial re-engagement through competitive or social features. | Incentivize daily practice by highlighting gamified progress and rewards. | Demonstrate the value of consistent engagement by showcasing personal improvement and social standing.","Day 1","leaderboards","Check current ranking on the leaderboard and see how they compare to friends or other users.","This initial touchpoint directly taps into the user's dominant social and competitive drives, offering a low-friction way to re-engage. Seeing their standing relative to others can spark immediate interest and a desire to improve, pulling them back into the application."
"4","Dormant_Social","inactive","Re-engage inactive users by leveraging their social and gamification propensities to foster consistent platform interaction and reduce churn risk.","Prompt initial re-engagement through competitive or social features. | Incentivize daily practice by highlighting gamified progress and rewards. | Demonstrate the value of consistent engagement by showcasing personal improvement and social standing.","Day 7","streaks","Complete a daily lesson or practice session to maintain their streak and protect their progress.","After an initial re-engagement, leveraging the 'Streaks' feature taps into their gamification propensity to build a consistent daily habit. This provides a clear, tangible goal that motivates continued interaction and reduces the likelihood of falling back into inactivity by creating a sense of investment."
"4","Dormant_Social","inactive","Re-engage inactive users by leveraging their social and gamification propensities to foster consistent platform interaction and reduce churn risk.","Prompt initial re-engagement through competitive or social features. | Incentivize daily practice by highlighting gamified progress and rewards. | Demonstrate the value of consistent engagement by showcasing personal improvement and social standing.","Day 14","badges_achievements","Earn a new badge or achievement by completing a specific learning challenge or reaching a practice milestone.","Celebrating achievements through badges reinforces the gamification aspect, providing positive feedback and a sense of accomplishment. This encourages users to continue engaging with the platform by offering tangible rewards for their efforts, making their return feel more worthwhile and progressive."
"4","Dormant_Social","inactive","Re-engage inactive users by leveraging their social and gamification propensities to foster consistent platform interaction and reduce churn risk.","Prompt initial re-engagement through competitive or social features. | Incentivize daily practice by highlighting gamified progress and rewards. | Demonstrate the value of consistent engagement by showcasing personal improvement and social standing.","Day 30","progress_reports","Review their progress report to see how their consistent practice has improved their speaking skills and identify areas for further social interaction practice.","Providing a progress report allows users to visualize their improvement over time, validating their efforts and reinforcing the value of their engagement. While their learning propensity is low, seeing tangible results from their gamified and social interactions can motivate them to continue, potentially linking their progress to future social communication goals."
"5","Dormant_Achiever","inactive","Re-activate inactive users by leveraging their strong achievement drive to foster consistent engagement.","Incentivize initial re-engagement with immediate, tangible rewards. | Guide users to visualize their progress and celebrate milestones. | Cultivate a habit of consistent practice through visible achievements and competitive challenges.","Day 1","badges_achievements","Complete a quick 'Welcome Back' challenge to earn a re-engagement badge.","This initial step directly appeals to the user's achievement drive by offering an immediate, tangible reward (a badge) for a low-effort re-engagement activity. It provides a quick win, making their return feel recognized and productive, which is crucial for an inactive user."
"5","Dormant_Achiever","inactive","Re-activate inactive users by leveraging their strong achievement drive to foster consistent engagement.","Incentivize initial re-engagement with immediate, tangible rewards. | Guide users to visualize their progress and celebrate milestones. | Cultivate a habit of consistent practice through visible achievements and competitive challenges.","Day 7","progress_reports","Review your personalized progress report to see your recent improvements and identify new goals.","By directing users to their progress reports, we tap into their desire for achievement by allowing them to visualize their learning journey and identify tangible improvements. This feature provides clear metrics and insights, reinforcing their sense of accomplishment and motivating continued engagement by showing them what they've gained."
"5","Dormant_Achiever","inactive","Re-activate inactive users by leveraging their strong achievement drive to foster consistent engagement.","Incentivize initial re-engagement with immediate, tangible rewards. | Guide users to visualize their progress and celebrate milestones. | Cultivate a habit of consistent practice through visible achievements and competitive challenges.","Day 14","badges_achievements","Earn a 'Consistent Learner' badge by completing 10 lessons or practice sessions this week.","This step leverages the achievement drive by setting a clear, attainable goal tied to a visible reward (a badge) for sustained effort. It encourages consistent practice over a longer period and provides a sense of accomplishment upon reaching a specific milestone, reinforcing the value of their continued engagement."
"5","Dormant_Achiever","inactive","Re-activate inactive users by leveraging their strong achievement drive to foster consistent engagement.","Incentivize initial re-engagement with immediate, tangible rewards. | Guide users to visualize their progress and celebrate milestones. | Cultivate a habit of consistent practice through visible achievements and competitive challenges.","Day 30","leaderboards","Check your ranking on the leaderboards and set a personal goal to climb higher next month.","Introducing leaderboards at this stage taps into their achievement drive by providing a competitive element and a clear metric for long-term progress. It allows users to benchmark their performance, fostering a desire for continuous improvement and sustained engagement through the pursuit of higher rankings and personal challenge."
"6","Dormant_Scholar","inactive","Reactivate and sustain engagement by demonstrating clear learning progress and practical skill application.","Re-establish a consistent daily learning habit. | Showcase personalized improvement and provide actionable feedback. | Facilitate the application of learned skills in practical scenarios.","Day 1","daily_lessons","Complete your first daily lesson to refresh your language skills and receive initial AI feedback.","This feature offers structured practice and AI feedback, directly appealing to their high learning propensity. Starting with a simple, guided lesson can reduce friction for an inactive user and re-introduce them to the core value proposition of the product."
"6","Dormant_Scholar","inactive","Reactivate and sustain engagement by demonstrating clear learning progress and practical skill application.","Re-establish a consistent daily learning habit. | Showcase personalized improvement and provide actionable feedback. | Facilitate the application of learned skills in practical scenarios.","Day 7","ai_tutor","Engage in a conversational practice session with the AI Tutor to apply what you've learned and get real-time corrections.","The AI Tutor provides real-time pronunciation and grammar correction, which is crucial for learners focused on improvement and accuracy. This feature allows for flexible, conversational practice, directly addressing their desire for practical application and confidence building."
"6","Dormant_Scholar","inactive","Reactivate and sustain engagement by demonstrating clear learning progress and practical skill application.","Re-establish a consistent daily learning habit. | Showcase personalized improvement and provide actionable feedback. | Facilitate the application of learned skills in practical scenarios.","Day 14","progress_reports","Review your personalized progress report to understand your improvement and identify specific areas for growth.","This feature directly caters to their learning drive by providing clear insights into their performance and improvement over time. Seeing tangible progress can significantly boost motivation and reinforce the value of continued engagement for a learner-focused user."
"6","Dormant_Scholar","inactive","Reactivate and sustain engagement by demonstrating clear learning progress and practical skill application.","Re-establish a consistent daily learning habit. | Showcase personalized improvement and provide actionable feedback. | Facilitate the application of learned skills in practical scenarios.","Day 30","role_based_practice","Practice a specific real-world scenario using Role-Based Practice to refine your professional communication skills.","This feature allows users to apply their learned skills in practical, simulated environments, which is highly valuable for a learner-driven cohort. It helps them prepare for real-life situations and reinforces the utility of the language skills they are acquiring, fostering long-term engagement."
"7","Paid_Competitive","paid","Maximize long-term engagement and retention by fostering a sense of achievement and competitive mastery.","Encourage consistent daily interaction through gamified elements. | Leverage social comparison and competition to drive sustained activity. | Provide clear pathways for earning rewards and recognizing milestones.","Week 1","streaks","Maintain a daily practice streak to protect progress and earn rewards.","Streaks are a powerful gamification tool that directly appeals to the user's high gamification and achievement drive. By focusing on maintaining a streak, users are incentivized to return daily, establishing a consistent habit without relying solely on intrinsic learning motivation."
"7","Paid_Competitive","paid","Maximize long-term engagement and retention by fostering a sense of achievement and competitive mastery.","Encourage consistent daily interaction through gamified elements. | Leverage social comparison and competition to drive sustained activity. | Provide clear pathways for earning rewards and recognizing milestones.","Week 2","badges_achievements","Complete specific challenges to earn new badges and unlock achievements.","Badges and achievements provide clear, milestone-based recognition for effort and consistency, directly tapping into the user's high achievement propensity. This reinforces engagement by celebrating progress and offering tangible symbols of accomplishment, which is more motivating for this cohort than pure skill acquisition."
"7","Paid_Competitive","paid","Maximize long-term engagement and retention by fostering a sense of achievement and competitive mastery.","Encourage consistent daily interaction through gamified elements. | Leverage social comparison and competition to drive sustained activity. | Provide clear pathways for earning rewards and recognizing milestones.","Week 4","leaderboards","Compete with other users and monitor their ranking on the leaderboards.","Leaderboards are ideal for leveraging the user's high social and gamification propensities by introducing a competitive element. This feature provides an external motivator for sustained engagement, encouraging users to strive for higher rankings and challenge themselves against peers, thereby fostering long-term retention."
